Term,Type,ECSS Standards,Branches
dissimilar metals,full term,['ECSS-E-ST-35-10C'],['E']
galvanic corrosion,full term,['ECSS-E-ST-35-10C'],['E']
ablated thickness,full term,['ECSS-E-ST-35C Rev. 1'],['E']
barbecue mode,full term,['ECSS-E-ST-35C Rev. 1'],['E']
beam divergence,full term,['ECSS-E-ST-35C Rev. 1'],['E']
buffeting,full term,['ECSS-E-ST-35C Rev. 1'],['E']
"burning time, tb",full term,['ECSS-E-ST-35C Rev. 1'],['E']
"characteristic velocity, C*",full term,['ECSS-E-ST-35C Rev. 1'],['E']
charred thickness,full term,['ECSS-E-ST-35C Rev. 1'],['E']
chill-down,full term,['ECSS-E-ST-35C Rev. 1'],['E']
contaminant,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-10-04C Rev.1', 'ECSS-Q-ST-70-54C', 'ECSS-Q-ST-70-01C', 'ECSS-Q-ST-70-06C', 'ECSS-S-ST-00-01C', 'ECSS-Q-ST-60-14C', 'ECSS-E-ST-10-04C']","['E', 'Q', 'S']"
corridor,full term,['ECSS-E-ST-35C Rev. 1'],['E']
critical speed,full term,['ECSS-E-ST-35C Rev. 1'],['E']
cryo-pumping,full term,['ECSS-E-ST-35C Rev. 1'],['E']
de-orbiting,full term,['ECSS-E-ST-35C Rev. 1'],['E']
dimensioning,full term,['ECSS-E-ST-35C Rev. 1'],['E']
dimensioning case,full term,['ECSS-E-ST-35C Rev. 1'],['E']
"discharge coefficient, Cd",full term,['ECSS-E-ST-35C Rev. 1'],['E']
draining,full term,['ECSS-E-ST-35C Rev. 1'],['E']
electric thruster,full term,['ECSS-E-ST-35C Rev. 1'],['E']
engine inlet pressure,full term,['ECSS-E-ST-35C Rev. 1'],['E']
envelope,full term,['ECSS-E-ST-35C Rev. 1'],['E']
erosive burning,full term,['ECSS-E-ST-35C Rev. 1'],['E']
fluid hammer,full term,['ECSS-E-ST-35C Rev. 1'],['E']
flushing,full term,['ECSS-E-ST-35C Rev. 1'],['E']
flutter,full term,['ECSS-E-ST-35C Rev. 1'],['E']
functional transducer,full term,['ECSS-E-ST-35C Rev. 1'],['E']
graveyard orbit,full term,['ECSS-E-ST-35C Rev. 1'],['E']
ground support equipment GSE,full term,['ECSS-E-ST-35C Rev. 1'],['E']
hump effect,full term,['ECSS-E-ST-35C Rev. 1'],['E']
hypergolic propellants,full term,['ECSS-E-ST-35C Rev. 1'],['E']
"ignition time, tign",full term,['ECSS-E-ST-35C Rev. 1'],['E']
impulse bit,full term,['ECSS-E-ST-35C Rev. 1'],['E']
initiator,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-50-51C', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-33-11C']",['E']
insulation thickness,full term,['ECSS-E-ST-35C Rev. 1'],['E']
interface,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-31-04C', 'ECSS-E-ST-40-07C', 'ECSS-S-ST-00-01C', 'ECSS-E-ST-50C']","['E', 'S']"
launch vehicle,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'S']"
limit testing,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-33-11C Rev.1', 'ECSS-E-ST-33-11C']",['E']
liquid rocket engine,full term,['ECSS-E-ST-35C Rev. 1'],['E']
minimum impulse bit,full term,['ECSS-E-ST-35C Rev. 1'],['E']
mixture ratio,full term,['ECSS-E-ST-35C Rev. 1'],['E']
non affected thickness,full term,['ECSS-E-ST-35C Rev. 1'],['E']
nozzle,full term,['ECSS-E-ST-35C Rev. 1'],['E']
net positive suction pressure NPSP,full term,['ECSS-E-ST-35C Rev. 1'],['E']
POGO,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-32C Rev. 1']",['E']
pre-heating time,full term,['ECSS-E-ST-35C Rev. 1'],['E']
pressurant,full term,['ECSS-E-ST-35C Rev. 1'],['E']
pressure drop coefficient,full term,['ECSS-E-ST-35C Rev. 1'],['E']
priming,full term,['ECSS-E-ST-35C Rev. 1'],['E']
propellant,full term,['ECSS-E-ST-35C Rev. 1'],['E']
propellant gauging,full term,['ECSS-E-ST-35C Rev. 1'],['E']
propulsion system,full term,['ECSS-E-ST-35C Rev. 1'],['E']
purging,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-Q-ST-70-01C']","['E', 'Q']"
pyrogen igniter,full term,['ECSS-E-ST-35C Rev. 1'],['E']
pyrotechnic igniter,full term,['ECSS-E-ST-35C Rev. 1'],['E']
repeatability,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-60-21C', 'ECSS-Q-ST-20C Rev.1']","['E', 'Q']"
"required factor, Kr",full term,['ECSS-E-ST-35C Rev. 1'],['E']
re-orbiting,full term,['ECSS-E-ST-35C Rev. 1'],['E']
simulant,full term,['ECSS-E-ST-35C Rev. 1'],['E']
side load,full term,['ECSS-E-ST-35C Rev. 1'],['E']
sizing,full term,['ECSS-E-ST-35C Rev. 1'],['E']
solid rocket motor,full term,['ECSS-E-ST-35C Rev. 1'],['E']
spacecraft,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'S']"
"specific impulse, ISP",full term,['ECSS-E-ST-35C Rev. 1'],['E']
subsystem,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-S-ST-00-01C']","['E', 'S']"
system,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-S-ST-00-01C', 'ECSS-Q-ST-40C']","['E', 'S', 'Q']"
termination point,full term,['ECSS-E-ST-35C Rev. 1'],['E']
throttling,full term,['ECSS-E-ST-35C Rev. 1'],['E']
thrust,full term,['ECSS-E-ST-35C Rev. 1'],['E']
thrust centroid time,full term,['ECSS-E-ST-35C Rev. 1'],['E']
thrust chamber assembly,full term,['ECSS-E-ST-35C Rev. 1'],['E']
"thrust coefficient, CF",full term,['ECSS-E-ST-35C Rev. 1'],['E']
thrust misalignment,full term,['ECSS-E-ST-35C Rev. 1'],['E']
thrust out-centring,full term,['ECSS-E-ST-35C Rev. 1'],['E']
thrust vector control,full term,['ECSS-E-ST-35C Rev. 1'],['E']
total impulse,full term,['ECSS-E-ST-35C Rev. 1'],['E']
trimming,full term,['ECSS-E-ST-35C Rev. 1'],['E']
triple point,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-20-06C Rev.1', 'ECSS-E-ST-20-06C']",['E']
turbo pump,full term,['ECSS-E-ST-35C Rev. 1'],['E']
ullage volume,full term,['ECSS-E-ST-35C Rev. 1'],['E']
valve manoeuvring time,full term,['ECSS-E-ST-35C Rev. 1'],['E']
valve response time,full term,['ECSS-E-ST-35C Rev. 1'],['E']
venting,full term,"['ECSS-E-ST-35C Rev. 1', 'ECSS-E-ST-33-01C Rev.2', 'ECSS-Q-ST-70-01C', 'ECSS-E-ST-33-01C', 'ECSS-E-ST-33-01C Rev.1']","['E', 'Q']"
water hammer,full term,['ECSS-E-ST-35C Rev. 1'],['E']
dry mass,full term,['ECSS-E-ST-35C Rev. 1'],['E']
end of flight or final mass,full term,['ECSS-E-ST-35C Rev. 1'],['E']
ejected mass,full term,['ECSS-E-ST-35C Rev. 1'],['E']
initial mass,full term,['ECSS-E-ST-35C Rev. 1'],['E']
loaded mass,full term,['ECSS-E-ST-35C Rev. 1'],['E']
propellant mass,full term,['ECSS-E-ST-35C Rev. 1'],['E']
residual mass,full term,['ECSS-E-ST-35C Rev. 1'],['E']
automatic code generation,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
code coverage,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
competent assessor,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
condition,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
configurable code,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
"COTS, OTS, MOTS software",full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
critical software,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
deactivated code,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
decision,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
decision coverage,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
existing software,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
integration testing,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
logical model,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
margin philosophy,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
metric,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
migration,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
mission products,full term,"['ECSS-E-ST-40C', 'ECSS-E-ST-70C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
modified condition and decision coverage,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
operational,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
portability,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
quality characteristics,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
quality model,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
real-time,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
regression testing,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
reusability,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
singular input,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software component,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software intensive system,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software item,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software observability,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software problem,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software product assurance,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
software unit,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
statement coverage,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
stress test,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
test case,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
test design,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
test procedure,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
test script,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
unit test,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
unreachable code,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
usability,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
validation,full term,"['ECSS-E-ST-40C', 'ECSS-E-ST-31-04C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C', 'ECSS-Q-ST-80C']","['E', 'Q', 'S']"
verification,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-S-ST-00-01C', 'ECSS-Q-ST-80C']","['E', 'Q', 'S']"
walk-through,full term,"['ECSS-E-ST-40C', 'ECSS-Q-ST-80C Rev.1', 'ECSS-Q-ST-80C']","['E', 'Q']"
category A,full term,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1', 'ECSS-E-ST-50-01C']",['E']
category B,full term,"['ECSS-E-ST-50-02C', 'ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1', 'ECSS-E-ST-50-01C']",['E']
attitude and orbit control system,full term,['ECSS-E-ST-60-30C'],['E']
AOCS mode,full term,['ECSS-E-ST-60-30C'],['E']
AOCS functional simulator,full term,['ECSS-E-ST-60-30C'],['E']
avionics test bench,full term,['ECSS-E-ST-60-30C'],['E']
AOCS end-to-end tests,full term,['ECSS-E-ST-60-30C'],['E']
flight dynamics,full term,['ECSS-E-ST-60-30C'],['E']
guidance navigation and control functions,full term,['ECSS-E-ST-60-30C'],['E']
worst case analysis,full term,['ECSS-E-ST-60-30C'],['E']
tranquilization phase,full term,['ECSS-E-ST-60-30C'],['E']
1553 message,full term,['ECSS-E-ST-50-13C'],['E']
communication device,full term,['ECSS-E-ST-50-13C'],['E']
communication frame,full term,['ECSS-E-ST-50-13C'],['E']
data bus system,full term,['ECSS-E-ST-50-13C'],['E']
message,full term,"['ECSS-E-ST-50-13C', 'ECSS-E-ST-70-41C']",['E']
time synchronization cycle,full term,['ECSS-E-ST-50-13C'],['E']
accuracy,full term,"['ECSS-E-ST-50-14C', 'ECSS-E-ST-35-06C Rev.1']",['E']
circuit,full term,['ECSS-E-ST-50-14C'],['E']
DHS data interchange bus,full term,['ECSS-E-ST-50-14C'],['E']
DHS core element,full term,['ECSS-E-ST-50-14C'],['E']
DHS peripheral element,full term,['ECSS-E-ST-50-14C'],['E']
ground displacement voltage,full term,['ECSS-E-ST-50-14C'],['E']
time reference point,full term,['ECSS-E-ST-50-14C'],['E']
byte,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
command,full term,['ECSS-E-ST-50-51C'],['E']
command packet,full term,['ECSS-E-ST-50-51C'],['E']
confirmation,full term,['ECSS-E-ST-50-51C'],['E']
data character,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
Error End of Packet marker,full term,['ECSS-E-ST-50-51C'],['E']
End of Packet marker,full term,['ECSS-E-ST-50-51C'],['E']
extender protocol identifier,full term,['ECSS-E-ST-50-51C'],['E']
indication,full term,['ECSS-E-ST-50-51C'],['E']
initiator user application,full term,['ECSS-E-ST-50-51C'],['E']
logical address,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
memory,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-70-11C']",['E']
packet,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-16C', 'ECSS-E-ST-50-12C', 'ECSS-E-ST-50-03C', 'ECSS-E-ST-50-04C']",['E']
path address,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-12C Rev.1', 'ECSS-E-ST-50-12C']",['E']
protocol identifier,full term,['ECSS-E-ST-50-51C'],['E']
reply,full term,['ECSS-E-ST-50-51C'],['E']
reply packet,full term,['ECSS-E-ST-50-51C'],['E']
request,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-70-41C']",['E']
target,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-40-07C']",['E']
target user application,full term,['ECSS-E-ST-50-51C'],['E']
transaction,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-70-41C']",['E']
word,full term,"['ECSS-E-ST-50-51C', 'ECSS-E-ST-50-11C']",['E']
absolute knowledge error,full term,['ECSS-E-ST-60-10C'],['E']
absolute performance error,full term,['ECSS-E-ST-60-10C'],['E']
error index,full term,['ECSS-E-ST-60-10C'],['E']
individual error source,full term,['ECSS-E-ST-60-10C'],['E']
knowledge error,full term,['ECSS-E-ST-60-10C'],['E']
mean knowledge error,full term,['ECSS-E-ST-60-10C'],['E']
mean performance error,full term,['ECSS-E-ST-60-10C'],['E']
performance drift error,full term,['ECSS-E-ST-60-10C'],['E']
performance error,full term,['ECSS-E-ST-60-10C'],['E']
performance reproducibility error,full term,['ECSS-E-ST-60-10C'],['E']
relative knowledge error,full term,['ECSS-E-ST-60-10C'],['E']
relative performance error,full term,['ECSS-E-ST-60-10C'],['E']
robustness,full term,['ECSS-E-ST-60-10C'],['E']
stability,full term,"['ECSS-E-ST-60-10C', 'ECSS-E-ST-60-21C']",['E']
stability margin,full term,['ECSS-E-ST-60-10C'],['E']
statistical ensemble,full term,"['ECSS-E-ST-60-10C', 'ECSS-E-ST-60-20C Rev. 2', 'ECSS-E-ST-60-20C Rev. 1']",['E']
automation,full term,['ECSS-E-ST-70-01C'],['E']
on-board control procedure,full term,['ECSS-E-ST-70-01C'],['E']
OBCP code,full term,['ECSS-E-ST-70-01C'],['E']
OBCP engine,full term,['ECSS-E-ST-70-01C'],['E']
OBCP language,full term,['ECSS-E-ST-70-01C'],['E']
OBCP system,full term,['ECSS-E-ST-70-01C'],['E']
OBCP step,full term,['ECSS-E-ST-70-01C'],['E']
on-board software,full term,['ECSS-E-ST-70-01C'],['E']
scheduling,full term,['ECSS-E-ST-70-01C'],['E']
survival mode,full term,"['ECSS-E-ST-70-01C', 'ECSS-E-ST-70-11C']",['E']
commandability,full term,['ECSS-E-ST-70-11C'],['E']
deactivation,full term,['ECSS-E-ST-70-11C'],['E']
flexibility,full term,['ECSS-E-ST-70-11C'],['E']
observability,full term,['ECSS-E-ST-70-11C'],['E']
testability,full term,"['ECSS-E-ST-70-11C', 'ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-20C Rev.1']","['E', 'Q']"
commandable vital function,full term,['ECSS-E-ST-70-11C'],['E']
high priority command,full term,['ECSS-E-ST-70-11C'],['E']
high priority telemetry,full term,['ECSS-E-ST-70-11C'],['E']
locally-critical function,full term,['ECSS-E-ST-70-11C'],['E']
mission-critical function,full term,['ECSS-E-ST-70-11C'],['E']
permanent degradation of space segment function,full term,['ECSS-E-ST-70-11C'],['E']
permanent mission degradation,full term,['ECSS-E-ST-70-11C'],['E']
temporary degradation of space segment function,full term,['ECSS-E-ST-70-11C'],['E']
temporary mission degradation,full term,['ECSS-E-ST-70-11C'],['E']
vital function,full term,['ECSS-E-ST-70-11C'],['E']
vital telecommand,full term,['ECSS-E-ST-70-11C'],['E']
application process,full term,"['ECSS-E-ST-70-11C', 'ECSS-E-ST-70-41C']",['E']
authorization,full term,['ECSS-E-ST-70-11C'],['E']
chain,full term,['ECSS-E-ST-70-11C'],['E']
confidentiality,full term,['ECSS-E-ST-70-11C'],['E']
control function,full term,['ECSS-E-ST-70-11C'],['E']
data integrity,full term,['ECSS-E-ST-70-11C'],['E']
data origin authentication,full term,['ECSS-E-ST-70-11C'],['E']
datation,full term,['ECSS-E-ST-70-11C'],['E']
device telecommand,full term,['ECSS-E-ST-70-11C'],['E']
housekeeping telemetry,full term,['ECSS-E-ST-70-11C'],['E']
loss of mission,full term,['ECSS-E-ST-70-11C'],['E']
mode,full term,['ECSS-E-ST-70-11C'],['E']
mode transition,full term,['ECSS-E-ST-70-11C'],['E']
on-board autonomy,full term,['ECSS-E-ST-70-11C'],['E']
on-board monitoring,full term,['ECSS-E-ST-70-11C'],['E']
on-board operations procedure,full term,['ECSS-E-ST-70-11C'],['E']
on-board operations schedule,full term,['ECSS-E-ST-70-11C'],['E']
operability,full term,['ECSS-E-ST-70-11C'],['E']
operations,full term,['ECSS-E-ST-70-11C'],['E']
parameter,full term,"['ECSS-E-ST-70-11C', 'ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
parameter validity,full term,['ECSS-E-ST-70-11C'],['E']
peer-entity authentication,full term,['ECSS-E-ST-70-11C'],['E']
safe state,full term,['ECSS-E-ST-70-11C'],['E']
space segment status,full term,['ECSS-E-ST-70-11C'],['E']
telecommand function,full term,['ECSS-E-ST-70-11C'],['E']
entity,full term,"['ECSS-E-ST-70C', 'ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
ground segment operations,full term,['ECSS-E-ST-70C'],['E']
ground segment,full term,"['ECSS-E-ST-70C', 'ECSS-Q-ST-30-09C', 'ECSS-S-ST-00-01C']","['E', 'Q', 'S']"
ground segment customer,full term,['ECSS-E-ST-70C'],['E']
ground segment supplier,full term,['ECSS-E-ST-70C'],['E']
ground system,full term,['ECSS-E-ST-70C'],['E']
incident,full term,"['ECSS-E-ST-70C', 'ECSS-S-ST-00-01C']","['E', 'S']"
mission exploitation,full term,['ECSS-E-ST-70C'],['E']
mission information,full term,['ECSS-E-ST-70C'],['E']
mission operations,full term,['ECSS-E-ST-70C'],['E']
mission operations data,full term,['ECSS-E-ST-70C'],['E']
operational validation,full term,['ECSS-E-ST-70C'],['E']
operations customer,full term,['ECSS-E-ST-70C'],['E']
operations supplier,full term,['ECSS-E-ST-70C'],['E']
space segment operations,full term,['ECSS-E-ST-70C'],['E']
synthetic parameter,full term,"['ECSS-E-ST-70C', 'ECSS-E-ST-70-31C']",['E']
deep space,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
Earth Exploration-Satellite service,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
frequency coordinator,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
Meteorological-Satellite service,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
necessary bandwidth,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
occupied bandwidth,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
out-of-band emission,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
proximate orbits,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
Space Operation service,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
Space Research service,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
spurious emission,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-50-05C Rev. 1', 'ECSS-E-ST-20-07C Rev. 1']",['E']
symbol rate,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-11C', 'ECSS-E-ST-50-05C Rev. 1']",['E']
unwanted emissions,full term,"['ECSS-E-ST-50-05C Rev. 2', 'ECSS-E-ST-50-05C Rev. 1']",['E']
activity,full term,"['ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
compound parameter,full term,"['ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
confirmation body,full term,['ECSS-E-ST-70-32C'],['E']
continuation test,full term,['ECSS-E-ST-70-32C'],['E']
event,full term,"['ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C', 'ECSS-E-ST-40-07C', 'ECSS-E-ST-20-01C']",['E']
initiation,full term,['ECSS-E-ST-70-32C'],['E']
main body,full term,['ECSS-E-ST-70-32C'],['E']
preconditions body,full term,['ECSS-E-ST-70-32C'],['E']
reporting data,full term,"['ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
space system model,full term,"['ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
statement,full term,['ECSS-E-ST-70-32C'],['E']
step,full term,['ECSS-E-ST-70-32C'],['E']
system element,full term,"['ECSS-E-ST-70-32C', 'ECSS-E-ST-70-31C']",['E']
watchdog body,full term,['ECSS-E-ST-70-32C'],['E']
watchdog step,full term,['ECSS-E-ST-70-32C'],['E']
resource,full term,['ECSS-E-ST-70-31C'],['E']
blistering,full term,"['ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-20-08C']",['E']
bubbles,full term,"['ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-20-08C']",['E']
chip,full term,"['ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-20-08C']",['E']
crack,full term,"['ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-20-08C']",['E']
delamination,full term,"['ECSS-E-ST-20-08C Rev. 1', 'ECSS-Q-ST-70-60C Corr.1', 'ECSS-Q-ST-70-10C', 'ECSS-Q-ST-70-11C', 'ECSS-E-ST-20-08C']","['E', 'Q']"
discolouration,full term,"['ECSS-E-ST-20-08C Rev. 1', 'ECSS-E-ST-20-08C']",['E']
